Datetime,Date,Time,Open,High,Low,Close,Vol
2015-12-22 14:15:00,20151222,1415,10525,10530,10525,10530,18364
2015-12-22 14:20:00,20151222,1420,10525,10530,10525,10525,3498
2015-12-22 14:25:00,20151222,1425,10530,10535,10520,10535,13455
2015-12-22 14:30:00,20151222,1430,10535,10535,10530,10530,5546
2015-12-22 14:35:00,20151222,1435,10530,10530,10520,10520,6392
2015-12-22 14:40:00,20151222,1440,10525,10525,10515,10525,1856
2015-12-22 14:45:00,20151222,1445,10525,10530,10510,10510,2673
2015-12-22 14:50:00,20151222,1450,10510,10515,10475,10480,6992
2015-12-22 14:55:00,20151222,1450,10510,10515,10475,10480,6992
2015-12-22 15:00:00,20151222,1500,10495,10495,10495,10495,17963
2015-12-23 09:05:00,20151223,905,10535,10635,10535,10630,44783
2015-12-23 09:10:00,20151223,910,10560,10630,10530,10555,16122
2015-12-23 09:15:00,20151223,915,10530,10565,10505,10525,9752
2015-12-23 09:20:00,20151223,920,10525,10525,10480,10480,17144
2015-12-23 09:25:00,20151223,925,10490,10505,10480,10500,2898
2015-12-23 09:30:00,20151223,930,10505,10530,10500,10530,22670
2015-12-23 09:35:00,20151223,935,10535,10585,10535,10575,48791
2015-12-23 09:40:00,20151223,940,10575,10595,10575,10590,132873
2015-12-23 09:45:00,20151223,945,10590,10615,10585,10605,47518
2015-12-23 09:50:00,20151223,950,10605,10620,10600,10605,26006
2015-12-23 09:55:00,20151223,955,10605,10610,10590,10590,35166
2015-12-23 10:00:00,20151223,1000,10600,10600,10580,10585,17973
2015-12-23 10:05:00,20151223,1005,10585,10590,10560,10560,22347
2015-12-23 10:10:00,20151223,1010,10555,10555,10535,10535,35415
2015-12-23 10:15:00,20151223,1015,10535,10545,10535,10540,15716
2015-12-23 10:20:00,20151223,1020,10540,10560,10535,10550,50495
2015-12-23 10:25:00,20151223,1025,10550,10560,10540,10555,23827
2015-12-23 10:30:00,20151223,1030,10555,10555,10550,10550,9839
2015-12-23 10:35:00,20151223,1035,10555,10555,10545,10545,716
2015-12-23 10:40:00,20151223,1040,10550,10550,10550,10550,544
2015-12-23 10:45:00,20151223,1045,10550,10565,10550,10560,1518
2015-12-23 10:50:00,20151223,1050,10555,10560,10555,10560,266
2015-12-23 10:55:00,20151223,1055,10560,10575,10560,10575,5259
2015-12-23 11:00:00,20151223,1100,10570,10570,10565,10565,1431
2015-12-23 11:05:00,20151223,1105,10570,10575,10570,10575,1120
2015-12-23 11:10:00,20151223,1110,10575,10575,10555,10570,19033
2015-12-23 11:15:00,20151223,1115,10565,10580,10565,10575,7670
2015-12-23 11:20:00,20151223,1120,10575,10590,10575,10590,7850
2015-12-23 11:25:00,20151223,1125,10585,10585,10575,10580,2666
2015-12-23 11:30:00,20151223,1130,10580,10585,10575,10585,12518
2015-12-23 11:35:00,20151223,1135,10580,10585,10575,10585,29051
2015-12-23 11:40:00,20151223,1140,10585,10585,10575,10575,12586
2015-12-23 11:45:00,20151223,1145,10575,10585,10575,10580,21869
2015-12-23 11:50:00,20151223,1150,10580,10580,10570,10570,15358
2015-12-23 11:55:00,20151223,1155,10570,10575,10570,10570,27869
2015-12-23 12:00:00,20151223,1200,10570,10575,10565,10565,19192
2015-12-23 12:05:00,20151223,1205,10565,10565,10555,10555,13059
2015-12-23 12:10:00,20151223,1210,10555,10555,10555,10555,3211
2015-12-23 12:15:00,20151223,1215,10550,10550,10540,10540,9197
2015-12-23 12:20:00,20151223,1220,10540,10540,10535,10535,2444
2015-12-23 12:25:00,20151223,1225,10535,10535,10520,10520,18990
2015-12-23 12:30:00,20151223,1230,10520,10520,10515,10515,4141
2015-12-23 12:35:00,20151223,1235,10520,10525,10515,10525,3081
2015-12-23 12:40:00,20151223,1240,10525,10525,10525,10525,26
2015-12-23 12:45:00,20151223,1245,10520,10520,10520,10520,28082
2015-12-23 12:50:00,20151223,1250,10525,10530,10520,10530,16646
2015-12-23 12:55:00,20151223,1255,10525,10525,10510,10520,36799
2015-12-23 13:00:00,20151223,1300,10520,10525,10520,10520,10484
2015-12-23 13:05:00,20151223,1305,10520,10520,10515,10515,29094
2015-12-23 13:10:00,20151223,1310,10515,10515,10510,10510,28850
2015-12-23 13:15:00,20151223,1315,10505,10510,10505,10505,14550
2015-12-23 13:20:00,20151223,1320,10505,10505,10500,10505,17945
2015-12-23 13:25:00,20151223,1325,10505,10505,10505,10505,18035
2015-12-23 13:30:00,20151223,1330,10505,10510,10500,10500,25732
2015-12-23 13:35:00,20151223,1335,10500,10500,10490,10495,10646
2015-12-23 13:40:00,20151223,1340,10495,10505,10495,10505,1524
2015-12-23 13:45:00,20151223,1345,10500,10505,10495,10500,5180
2015-12-23 13:50:00,20151223,1350,10500,10500,10490,10490,8997
2015-12-23 13:55:00,20151223,1355,10490,10495,10490,10495,5523
2015-12-23 14:00:00,20151223,1400,10495,10495,10485,10490,998
2015-12-23 14:05:00,20151223,1405,10490,10490,10480,10480,1439
2015-12-23 14:10:00,20151223,1410,10480,10485,10465,10465,7544
2015-12-23 14:15:00,20151223,1415,10460,10460,10445,10460,10530
2015-12-23 14:20:00,20151223,1420,10460,10460,10445,10450,1891
2015-12-23 14:25:00,20151223,1425,10450,10455,10435,10440,130065
2015-12-23 14:30:00,20151223,1430,10440,10445,10430,10445,6710
2015-12-23 14:35:00,20151223,1435,10440,10445,10435,10440,3020
2015-12-23 14:40:00,20151223,1440,10435,10445,10435,10440,9005
2015-12-23 14:45:00,20151223,1445,10440,10450,10435,10435,1899
2015-12-23 14:50:00,20151223,1450,10430,10435,10415,10415,162412
2015-12-23 14:55:00,20151223,1450,10430,10435,10415,10415,162412
2015-12-23 15:00:00,20151223,1500,10425,10425,10425,10425,618339
2015-12-24 09:05:00,20151224,905,10480,10525,10475,10520,31462
2015-12-24 09:10:00,20151224,910,10525,10525,10475,10490,144686
2015-12-24 09:15:00,20151224,915,10485,10490,10440,10440,35905
2015-12-24 09:20:00,20151224,920,10450,10465,10450,10460,7790
2015-12-24 09:25:00,20151224,925,10450,10460,10420,10435,3019
2015-12-24 09:30:00,20151224,930,10425,10430,10410,10415,7611
2015-12-24 09:35:00,20151224,935,10410,10410,10385,10385,13658
2015-12-24 09:40:00,20151224,940,10385,10390,10380,10385,37179
2015-12-24 09:45:00,20151224,945,10385,10390,10380,10390,62437
2015-12-24 09:50:00,20151224,950,10395,10410,10390,10400,64829
2015-12-24 09:55:00,20151224,955,10400,10405,10400,10405,10703
2015-12-24 10:00:00,20151224,1000,10400,10415,10400,10415,9191
2015-12-24 10:05:00,20151224,1005,10415,10430,10415,10420,46002
2015-12-24 10:10:00,20151224,1010,10420,10425,10415,10420,61501
2015-12-24 10:15:00,20151224,1015,10425,10430,10420,10425,15141
2015-12-24 10:20:00,20151224,1020,10425,10430,10415,10420,35166
2015-12-24 10:25:00,20151224,1025,10420,10420,10420,10420,702
2015-12-24 10:30:00,20151224,1030,10420,10425,10420,10425,13014
2015-12-24 10:35:00,20151224,1035,10420,10430,10420,10425,11895
2015-12-24 10:40:00,20151224,1040,10420,10420,10415,10415,7724
2015-12-24 10:45:00,20151224,1045,10420,10420,10415,10415,25740
2015-12-24 10:50:00,20151224,1050,10420,10420,10415,10415,4052
2015-12-24 10:55:00,20151224,1055,10415,10415,10410,10415,3728
2015-12-24 11:00:00,20151224,1100,10420,10425,10415,10425,21918
2015-12-24 11:05:00,20151224,1105,10420,10420,10415,10420,23448
2015-12-24 11:10:00,20151224,1110,10415,10420,10400,10400,2171
2015-12-24 11:15:00,20151224,1115,10395,10405,10395,10395,7535
2015-12-24 11:20:00,20151224,1120,10395,10400,10385,10390,22347
2015-12-24 11:25:00,20151224,1125,10390,10395,10390,10390,26001
2015-12-24 11:30:00,20151224,1130,10385,10390,10380,10380,24069
2015-12-24 11:35:00,20151224,1135,10380,10385,10380,10380,5864
2015-12-24 11:40:00,20151224,1140,10380,10385,10375,10380,11806
2015-12-24 11:45:00,20151224,1145,10380,10385,10370,10375,111147
2015-12-24 11:50:00,20151224,1150,10375,10385,10375,10375,5099
2015-12-24 11:55:00,20151224,1155,10375,10380,10375,10380,1388
2015-12-24 12:00:00,20151224,1200,10380,10380,10375,10380,3906
2015-12-24 12:05:00,20151224,1205,10380,10390,10375,10385,1781
2015-12-24 12:10:00,20151224,1210,10390,10405,10385,10400,3225
